Date,Price,Open,High,Low,Vol.,Change %
2025-04-29,29440.0,29410.0,29550.0,29370.0,182800.0,0.1
2025-04-28,29410.0,29090.0,29420.0,29090.0,545700.0,1.13
2025-04-25,29080.0,29000.0,29150.0,28760.0,406400.0,1.22
2025-04-24,28730.0,28760.0,29330.0,28700.0,148400.0,1.45
2025-04-23,28320.0,26700.0,28770.0,26700.0,1370000.0,0.78
2025-04-22,28100.0,28470.0,28690.0,27100.0,361300.0,-1.82
2025-04-21,28620.0,29180.0,29180.0,28620.0,323700.0,-1.95
2025-04-18,29190.0,29000.0,29400.0,29000.0,399400.0,2.06
2025-04-17,28600.0,28210.0,28600.0,28200.0,247300.0,0.28
2025-04-16,28520.0,29190.0,29190.0,28520.0,294600.0,-2.33
2025-04-15,29200.0,29270.0,29350.0,28700.0,805300.0,-0.34
2025-04-14,29300.0,29030.0,29600.0,29030.0,581000.0,0.69
2025-04-11,29100.0,28950.0,29250.0,28400.0,690100.0,5.09
2025-04-10,27690.0,27690.0,27690.0,27690.0,93800.0,6.99
2025-04-09,25880.0,25160.0,27000.0,25160.0,2350000.0,-4.33
2025-04-08,27050.0,28000.0,28000.0,27050.0,842500.0,-6.98
2025-04-04,29080.0,27510.0,29080.0,27510.0,3940000.0,-1.69
2025-04-03,29580.0,29600.0,31600.0,29580.0,1340000.0,-6.98
2025-04-02,31800.0,31840.0,32000.0,31780.0,674200.0,-0.13
2025-04-01,31840.0,31860.0,31860.0,31570.0,190400.0,0.0
2025-03-31,31840.0,31900.0,31900.0,31500.0,413200.0,-0.5
2025-03-28,32000.0,32290.0,32290.0,31830.0,613800.0,-1.02
2025-03-27,32330.0,32350.0,32380.0,32120.0,215200.0,-0.15
2025-03-26,32380.0,32530.0,32600.0,32000.0,292800.0,-0.46
2025-03-25,32530.0,32550.0,32650.0,32370.0,441000.0,-0.06
2025-03-24,32550.0,32400.0,32550.0,32160.0,702600.0,0.22
2025-03-21,32480.0,32140.0,32480.0,32140.0,423600.0,0.5
2025-03-20,32320.0,32210.0,32540.0,32070.0,737200.0,0.37
2025-03-19,32200.0,32600.0,32660.0,32150.0,992800.0,-1.32
2025-03-18,32630.0,32950.0,32950.0,32630.0,951900.0,-0.82
2025-03-17,32900.0,32850.0,32900.0,32570.0,504100.0,0.06
2025-03-14,32880.0,32900.0,32930.0,32500.0,249500.0,-0.12
2025-03-13,32920.0,33320.0,33320.0,32920.0,1070000.0,-1.14
2025-03-12,33300.0,33500.0,33600.0,33170.0,1270000.0,-0.66
2025-03-11,33520.0,33200.0,33520.0,33170.0,1730000.0,-0.36
2025-03-10,33640.0,33400.0,33690.0,33390.0,498700.0,0.78
2025-03-07,33380.0,33390.0,33520.0,33000.0,1190000.0,0.0
2025-03-06,33380.0,32920.0,33380.0,32920.0,744400.0,1.4
2025-03-05,32920.0,33150.0,33270.0,32820.0,1780000.0,-0.39
