Date,Price,Open,High,Low,Vol.,Change %
2025-04-29,60800.0,60800.0,61100.0,60500.0,5700000.0,-0.16
2025-04-28,60900.0,60900.0,62000.0,59600.0,7710000.0,0.66
2025-04-25,60500.0,59500.0,60500.0,59400.0,10320000.0,1.34
2025-04-24,59700.0,58800.0,59900.0,58400.0,7680000.0,1.53
2025-04-23,58800.0,58500.0,59300.0,58200.0,8390000.0,2.62
2025-04-22,57300.0,55400.0,57300.0,52000.0,16300000.0,3.06
2025-04-21,55600.0,56300.0,56600.0,55300.0,4630000.0,-1.07
2025-04-18,56200.0,56900.0,57600.0,56200.0,6350000.0,-1.06
2025-04-17,56800.0,55900.0,56800.0,55600.0,5400000.0,0.0
2025-04-16,56800.0,56600.0,57700.0,55600.0,9250000.0,-0.53
2025-04-15,57100.0,56000.0,57600.0,55100.0,12060000.0,0.88
2025-04-14,56600.0,55000.0,56600.0,54300.0,15360000.0,6.99
2025-04-11,52900.0,51000.0,52900.0,50600.0,12780000.0,6.98
2025-04-10,49450.0,49450.0,49450.0,49450.0,411300.0,6.92
2025-04-09,46250.0,45750.0,49200.0,45750.0,20210000.0,-5.9
2025-04-08,49150.0,49200.0,50000.0,49150.0,11930000.0,-6.91
2025-04-04,52800.0,50900.0,53500.0,50900.0,28990000.0,-3.47
2025-04-03,54700.0,55100.0,56300.0,54700.0,14960000.0,-6.97
2025-04-02,58800.0,58600.0,59700.0,58000.0,7440000.0,0.34
2025-04-01,58600.0,58600.0,58900.0,57700.0,5640000.0,-0.68
2025-03-31,59000.0,59000.0,59200.0,58100.0,6530000.0,-1.34
2025-03-28,59800.0,60100.0,60700.0,58900.0,7230000.0,-0.99
2025-03-27,60400.0,60800.0,60800.0,60000.0,3190000.0,-0.66
2025-03-26,60800.0,60600.0,61200.0,60500.0,2420000.0,0.5
2025-03-25,60500.0,60400.0,61300.0,59900.0,5510000.0,0.33
2025-03-24,60300.0,59800.0,60300.0,59500.0,2860000.0,0.0
2025-03-21,60300.0,60000.0,60300.0,59400.0,3130000.0,0.5
2025-03-20,60000.0,59800.0,60000.0,59000.0,4059999.9999999995,0.84
2025-03-19,59500.0,61200.0,61400.0,59000.0,13420000.0,-3.72
2025-03-18,61800.0,62200.0,62500.0,61400.0,5350000.0,-0.32
2025-03-17,62000.0,61700.0,62000.0,61400.0,3540000.0,0.81
2025-03-14,61500.0,61500.0,62300.0,61200.0,8760000.0,0.0
2025-03-13,61500.0,62700.0,62800.0,61200.0,7330000.0,-1.91
2025-03-12,62700.0,63000.0,63000.0,61900.0,8820000.0,-0.48
2025-03-11,63000.0,61400.0,63200.0,61400.0,9580000.0,1.29
2025-03-10,62200.0,62000.0,62300.0,61400.0,8130000.000000001,0.48
2025-03-07,61900.0,61800.0,62000.0,61300.0,5400000.0,0.0
2025-03-06,61900.0,59800.0,61900.0,59600.0,13450000.0,3.86
2025-03-05,59600.0,59800.0,60200.0,59300.0,7190000.0,0.17
2025-03-04,59500.0,58700.0,59900.0,58400.0,6410000.0,1.19
2025-03-03,58800.0,58200.0,59100.0,57800.0,5940000.0,0.86
2025-02-28,58300.0,58000.0,58700.0,57800.0,5280000.0,-0.51
2025-02-27,58600.0,58700.0,58800.0,58200.0,3220000.0,-0.17
2025-02-26,58700.0,58300.0,59100.0,57800.0,4980000.0,0.69
2025-02-25,58300.0,58100.0,58400.0,57400.0,7930000.0,-0.17
2025-02-24,58400.0,58100.0,58500.0,57300.0,6240000.0,0.52
2025-02-21,58100.0,56800.0,58300.0,56600.0,10120000.0,2.47
2025-02-20,56700.0,55900.0,56700.0,55700.0,6190000.0,1.61
2025-02-19,55800.0,54700.0,56100.0,54400.0,7550000.0,2.39
2025-02-18,54500.0,54000.0,55000.0,53800.0,4500000.0,0.74
2025-02-17,54100.0,55200.0,55200.0,54100.0,5930000.0,-1.99
2025-02-14,55200.0,55100.0,55300.0,53800.0,11170000.0,0.73
2025-02-13,54800.0,56000.0,56000.0,54800.0,11350000.0,-2.84
2025-02-12,56400.0,56800.0,57300.0,56400.0,4850000.0,0.0
2025-02-11,56400.0,57400.0,57400.0,56400.0,5990000.0,-1.74
2025-02-10,57400.0,58300.0,58300.0,57400.0,5930000.0,-2.55
2025-02-07,58900.0,58900.0,59000.0,57800.0,6960000.0,-0.34
2025-02-06,59100.0,59500.0,59600.0,58700.0,4150000.0000000005,-0.51
2025-02-05,59400.0,59600.0,59800.0,59100.0,2780000.0,-0.34
2025-02-04,59600.0,59900.0,59900.0,59000.0,3640000.0,0.0
2025-02-03,59600.0,59000.0,59600.0,58500.0,5160000.0,-0.83
2025-01-24,60100.0,59200.0,60100.0,58600.0,6760000.0,1.52
2025-01-23,59200.0,57300.0,59500.0,57300.0,5660000.0,3.14
2025-01-22,57400.0,57900.0,58000.0,57400.0,3100000.0,-0.52
2025-01-21,57700.0,57700.0,58200.0,57200.0,3420000.0,0.35
2025-01-20,57500.0,57700.0,57900.0,57300.0,2220000.0,-0.35
2025-01-17,57700.0,57300.0,57800.0,57200.0,2700000.0,-0.17
2025-01-16,57800.0,57200.0,58000.0,57000.0,3790000.0,0.87
2025-01-15,57300.0,57400.0,57900.0,56800.0,3240000.0,0.17
2025-01-14,57200.0,57300.0,57500.0,56600.0,2920000.0,-0.17
2025-01-13,57300.0,56600.0,57700.0,56500.0,3790000.0,-0.35
2025-01-10,57500.0,57500.0,58000.0,56900.0,3590000.0,-0.35
2025-01-09,57700.0,58000.0,58000.0,57500.0,1740000.0,-0.69
2025-01-08,58100.0,57100.0,58100.0,56500.0,3070000.0,1.75
2025-01-07,57100.0,57300.0,57800.0,56400.0,5530000.0,0.18
2025-01-06,57000.0,58400.0,59300.0,57000.0,5410000.0,-2.73
2025-01-03,58600.0,60600.0,60700.0,58600.0,6600000.0,-3.3
2025-01-02,60600.0,60900.0,61200.0,60300.0,3970000.0,-0.66
2024-12-31,61000.0,60900.0,61000.0,60500.0,4520000.0,0.0
2024-12-30,61000.0,60500.0,61200.0,60500.0,4179999.9999999995,-0.65
2024-12-27,61400.0,60600.0,61600.0,60400.0,6950000.0,-0.16
2024-12-26,61500.0,62400.0,62400.0,60500.0,6550000.0,-1.13
2024-12-25,62200.0,61300.0,62300.0,61300.0,6300000.0,1.47
2024-12-24,61300.0,61200.0,61300.0,60700.0,3060000.0,0.49
2024-12-23,61000.0,60600.0,61100.0,60500.0,5540000.0,0.66
2024-12-20,60600.0,60000.0,60800.0,59600.0,3750000.0,1.34
2024-12-19,59800.0,59800.0,59900.0,59400.0,7100000.0,-0.66
2024-12-18,60200.0,60200.0,60500.0,59900.0,4080000.0,-0.17
2024-12-17,60300.0,61000.0,61000.0,60200.0,3680000.0,-1.15
2024-12-16,61000.0,61000.0,61400.0,60200.0,3620000.0,0.0
2024-12-13,61000.0,59800.0,61300.0,59600.0,5600000.0,1.67
2024-12-12,60000.0,60300.0,60500.0,59900.0,3770000.0,0.0
2024-12-11,60000.0,60700.0,60800.0,59900.0,4820000.0,-1.32
2024-12-10,60800.0,61100.0,61200.0,60500.0,4230000.0,-0.49
2024-12-09,61100.0,61600.0,61600.0,60800.0,4410000.0,0.0
2024-12-06,61100.0,60800.0,61900.0,60500.0,7830000.0,0.16
2024-12-05,61000.0,58400.0,61200.0,58100.0,8620000.0,4.99
2024-12-04,58100.0,59400.0,59800.0,58000.0,8860000.0,-2.84
2024-12-03,59800.0,60100.0,60300.0,59600.0,4019999.9999999995,-0.99
2024-12-02,60400.0,60700.0,60700.0,59900.0,2790000.0,-0.17
2024-11-29,60500.0,60000.0,60500.0,58900.0,5590000.0,0.83
2024-11-28,60000.0,60300.0,60600.0,59700.0,3770000.0,-0.33
2024-11-27,60200.0,59900.0,60900.0,59500.0,4940000.0,0.33
2024-11-26,60000.0,59300.0,60100.0,59000.0,4370000.0,1.69
2024-11-25,59000.0,58800.0,59300.0,58600.0,4570000.0,0.0
2024-11-22,59000.0,58700.0,59400.0,58400.0,5800000.0,0.51
2024-11-21,58700.0,57000.0,58900.0,56500.0,8170000.0,3.35
2024-11-20,56800.0,57200.0,58100.0,56000.0,9750000.0,-1.22
2024-11-19,57500.0,59000.0,59000.0,57500.0,5340000.0,-2.38
2024-11-18,58900.0,59900.0,59900.0,57100.0,12080000.0,-1.67
2024-11-15,59900.0,60800.0,61100.0,59800.0,6650000.0,-2.28
2024-11-14,61300.0,61500.0,61600.0,60700.0,4480000.0,-0.97
2024-11-13,61900.0,60800.0,62300.0,60300.0,7230000.0,1.81
2024-11-12,60800.0,63100.0,63200.0,60800.0,10600000.0,-3.49
2024-11-11,63000.0,64500.0,65000.0,62900.0,9390000.0,-3.08
2024-11-08,65000.0,65400.0,65400.0,64500.0,4700000.0,-0.61
2024-11-07,65400.0,65800.0,65800.0,64800.0,5240000.0,-0.3
2024-11-06,65600.0,65700.0,65700.0,65000.0,5420000.0,0.0
2024-11-05,65600.0,64900.0,65600.0,64800.0,5270000.0,0.77
2024-11-04,65100.0,65900.0,65900.0,64700.0,9360000.0,-1.36
2024-11-01,66000.0,65900.0,66100.0,65500.0,21330000.0,-0.75
2024-10-31,66500.0,66000.0,66500.0,65600.0,6150000.0,0.76
2024-10-30,66000.0,66500.0,66500.0,65700.0,8930000.0,-0.75
