Date,Price,Open,High,Low,Vol.,Change %
2025-04-29,1226.3,1226.8,1229.1,1222.3,675960000.0,-0.04
2025-04-28,1226.8,1234.3,1234.3,1222.56,679790000.0,-0.2
2025-04-25,1229.23,1223.35,1230.72,1220.67,863020000.0,0.48
2025-04-24,1223.35,1214.78,1224.66,1210.37,798640000.0,1.02
2025-04-23,1211.0,1197.13,1216.28,1197.13,855210000.0,1.16
2025-04-22,1197.13,1207.07,1207.07,1136.98,1700000000.0,-0.82
2025-04-21,1207.07,1219.12,1222.77,1201.63,880860000.0,-0.99
2025-04-18,1219.12,1228.37,1234.67,1219.12,1070000000.0000001,0.15
2025-04-17,1217.25,1210.3,1217.25,1197.5,807720000.0,0.57
2025-04-16,1210.3,1227.79,1233.84,1205.93,818930000.0,-1.42
2025-04-15,1227.79,1241.44,1246.21,1221.75,1070000000.0000001,-1.1
2025-04-14,1241.44,1235.01,1242.94,1226.06,1040000000.0,1.55
2025-04-11,1222.46,1168.34,1222.46,1168.34,1730000000.0,4.63
2025-04-10,1168.34,1094.3,1168.4,1094.3,369960000.0,6.77
2025-04-09,1094.3,1132.79,1141.35,1073.61,1600000000.0,-3.4
2025-04-08,1132.79,1210.67,1210.67,1130.98,1160000000.0,-6.43
2025-04-04,1210.67,1229.84,1229.84,1158.17,1990000000.0,-1.56
2025-04-03,1229.84,1272.87,1277.9,1229.41,1760000000.0,-6.68
2025-04-02,1317.83,1317.33,1324.46,1317.33,849310000.0,0.04
2025-04-01,1317.33,1313.03,1317.46,1308.06,620030000.0,0.8
2025-03-31,1306.86,1317.46,1317.46,1304.1,867810000.0,-0.8
2025-03-28,1317.46,1324.42,1325.34,1315.72,739650000.0,-0.48
2025-03-27,1323.81,1326.09,1328.82,1323.01,672320000.0,-0.17
2025-03-26,1326.09,1331.92,1338.55,1323.69,834630000.0,-0.44
2025-03-25,1331.92,1330.32,1337.6,1329.81,1020000000.0,0.12
2025-03-24,1330.32,1322.9,1330.32,1316.73,926620000.0,0.64
2025-03-21,1321.88,1323.93,1325.22,1320.67,805380000.0,-0.15
2025-03-20,1323.93,1324.63,1332.41,1316.11,918930000.0,-0.05
2025-03-19,1324.63,1330.97,1330.97,1320.85,949330000.0,-0.48
2025-03-18,1330.97,1336.26,1341.65,1330.97,903370000.0,-0.4
2025-03-17,1336.26,1330.62,1336.26,1329.05,971320000.0,0.76
2025-03-14,1326.15,1326.27,1333.32,1324.3,1020000000.0,-0.01
2025-03-13,1326.27,1334.41,1340.91,1324.87,1070000000.0000001,-0.61
2025-03-12,1334.41,1332.54,1342.91,1331.75,942050000.0,0.14
2025-03-11,1332.54,1330.28,1332.54,1315.92,933340000.0,0.17
2025-03-10,1330.28,1326.05,1335.87,1326.05,1020000000.0,0.32
2025-03-07,1326.05,1318.22,1327.07,1318.22,957520000.0,0.59
2025-03-06,1318.22,1304.71,1318.22,1304.71,1060000000.0,1.04
2025-03-05,1304.71,1311.91,1319.52,1304.71,979930000.0,-0.55
2025-03-04,1311.91,1309.37,1313.21,1298.28,1060000000.0,0.19
2025-03-03,1309.37,1305.36,1309.77,1304.3,976080000.0,0.31
2025-02-28,1305.36,1307.8,1308.77,1300.66,814810000.0,-0.19
2025-02-27,1307.8,1307.31,1307.87,1296.43,892980000.0,0.37
2025-02-26,1302.96,1303.16,1306.49,1301.2,758270000.0,-0.02
2025-02-25,1303.16,1306.86,1309.97,1298.54,885780000.0,-0.11
2025-02-24,1304.56,1296.75,1304.56,1294.69,892360000.0,0.6
2025-02-21,1296.75,1292.98,1296.75,1290.98,740530000.0,0.29
2025-02-20,1292.98,1288.56,1295.82,1288.56,770750000.0,0.34
2025-02-19,1288.56,1278.14,1288.56,1278.14,814560000.0,0.82
2025-02-18,1278.14,1272.72,1283.34,1272.19,706790000.0,0.43
2025-02-17,1272.72,1276.08,1278.49,1272.72,852790000.0,-0.26
2025-02-14,1276.08,1270.35,1280.6,1270.35,650490000.0,0.45
2025-02-13,1270.35,1266.91,1270.67,1263.85,512020000.0,0.27
2025-02-12,1266.91,1268.45,1272.86,1266.59,506160000.0,-0.12
2025-02-11,1268.45,1263.26,1268.45,1263.11,628720000.0,0.41
2025-02-10,1263.26,1275.2,1275.2,1263.26,794940000.0,-0.94
2025-02-07,1275.2,1271.48,1279.35,1269.11,619050000.0,0.29
2025-02-06,1271.48,1269.61,1275.47,1268.28,568690000.0,0.15
2025-02-05,1269.61,1264.68,1271.8,1264.68,587300000.0,0.39
2025-02-04,1264.68,1256.91,1264.68,1255.44,660340000.0,0.93
2025-02-03,1253.03,1265.05,1265.05,1249.78,547000000.0,-0.95
2025-01-24,1265.05,1259.26,1265.38,1258.46,536200000.00000006,0.43
2025-01-23,1259.63,1245.59,1263.59,1244.77,542470000.0,1.38
2025-01-22,1242.53,1246.09,1249.14,1242.53,508860000.0,-0.29
2025-01-21,1246.09,1249.55,1254.17,1243.08,495630000.0,-0.28
2025-01-20,1249.55,1249.11,1253.02,1247.5,440950000.0,0.04
2025-01-17,1249.11,1242.36,1249.11,1239.63,432980000.0,0.54
2025-01-16,1242.36,1236.18,1245.4,1235.56,499940000.0,0.5
2025-01-15,1236.18,1229.07,1237.46,1229.07,466700000.0,0.58
2025-01-14,1229.07,1235.65,1235.65,1226.7,374580000.0,-0.53
2025-01-13,1235.65,1230.48,1235.65,1220.87,519700000.00000006,0.42
2025-01-10,1230.48,1245.77,1247.8,1230.48,499270000.0,-1.23
