Date,Price,Open,High,Low,Vol.,Change %
2025-04-29,37200.0,36750.0,37200.0,36700.0,4930000.0,0.95
2025-04-28,36850.0,37250.0,37250.0,36700.0,5110000.0,-0.81
2025-04-25,37150.0,37200.0,37500.0,37050.0,6470000.0,-0.67
2025-04-24,37400.0,37450.0,37450.0,36850.0,6790000.0,0.27
2025-04-23,37300.0,37400.0,37650.0,37000.0,6710000.0,0.54
2025-04-22,37100.0,36900.0,37150.0,34650.0,15060000.0,-0.4
2025-04-21,37250.0,37550.0,37850.0,36700.0,10030000.0,-0.53
2025-04-18,37450.0,37850.0,38050.0,37450.0,8510000.0,0.54
2025-04-17,37250.0,37000.0,37350.0,36650.0,8700000.0,0.13
2025-04-16,37200.0,37750.0,38100.0,37200.0,6580000.0,-1.46
2025-04-15,37750.0,37800.0,38000.0,37200.0,10250000.0,-1.44
2025-04-14,38300.0,38600.0,38600.0,37850.0,9750000.0,-0.26
2025-04-11,38400.0,37000.0,38500.0,36550.0,20250000.0,6.22
2025-04-10,36150.0,36150.0,36150.0,36150.0,2910000.0,6.95
2025-04-09,33800.0,33800.0,37000.0,33800.0,17510000.0,-6.11
2025-04-08,36000.0,36100.0,38200.0,36000.0,18690000.0,-6.98
2025-04-04,38700.0,36350.0,38700.0,36350.0,17690000.0,-0.9
2025-04-03,39050.0,40700.0,40700.0,39050.0,19840000.0,-6.91
2025-04-02,41950.0,41950.0,42300.0,41700.0,5580000.0,0.24
2025-04-01,41850.0,41650.0,41850.0,41050.0,4740000.0,0.97
2025-03-31,41450.0,41200.0,41450.0,40900.0,4620000.0,0.24
2025-03-28,41350.0,41500.0,41550.0,41150.0,4090000.0,-0.6
2025-03-27,41600.0,41400.0,41750.0,41250.0,3510000.0,-0.36
2025-03-26,41750.0,42250.0,42450.0,41600.0,5470000.0,-1.3
2025-03-25,42300.0,41950.0,42300.0,41700.0,5040000.0,1.2
2025-03-24,41800.0,41400.0,41800.0,41100.0,6850000.0,0.36
2025-03-21,41650.0,41600.0,41650.0,41050.0,7360000.0,0.12
2025-03-20,41600.0,41550.0,41800.0,41000.0,8810000.0,0.12
2025-03-19,41550.0,41900.0,42000.0,41400.0,8670000.0,-1.07
2025-03-18,42000.0,42900.0,42900.0,41950.0,5410000.0,-1.41
2025-03-17,42600.0,42300.0,42600.0,42200.0,3460000.0,0.71
2025-03-14,42300.0,42050.0,42300.0,41800.0,7790000.0,0.0
2025-03-13,42300.0,42700.0,42700.0,42150.0,7910000.0,-0.82
2025-03-12,42650.0,42800.0,43300.0,42300.0,9350000.0,0.12
2025-03-11,42600.0,42000.0,42600.0,41800.0,6940000.0,0.35
2025-03-10,42450.0,42700.0,42700.0,42100.0,9160000.0,0.12
2025-03-07,42400.0,41700.0,42400.0,41650.0,10860000.0,1.8
2025-03-06,41650.0,41400.0,41750.0,41200.0,5640000.0,1.09
2025-03-05,41200.0,41600.0,42250.0,41150.0,7810000.0,-0.96
2025-03-04,41600.0,41000.0,41800.0,40800.0,7440000.0,0.85
2025-03-03,41250.0,41200.0,41250.0,40850.0,7670000.0,-0.6
2025-02-28,41500.0,41300.0,41600.0,41000.0,5530000.0,0.0
2025-02-27,41500.0,41250.0,41550.0,40850.0,6080000.0,0.36
2025-02-26,41350.0,41800.0,41800.0,41100.0,9430000.0,-1.19
2025-02-25,41850.0,41950.0,42100.0,41400.0,5730000.0,-0.12
2025-02-24,41900.0,41500.0,41950.0,41350.0,6760000.0,0.96
2025-02-21,41500.0,40850.0,41500.0,40500.0,7710000.0,1.59
2025-02-20,40850.0,41050.0,41050.0,40450.0,5270000.0,0.86
2025-02-19,40500.0,40550.0,40950.0,40450.0,6140000.0,0.5
2025-02-18,40300.0,40150.0,41000.0,40050.0,6540000.0,0.37
2025-02-17,40150.0,40500.0,40650.0,40150.0,5950000.0,-0.99
2025-02-14,40550.0,41000.0,41350.0,40500.0,5520000.0,-0.73
2025-02-13,40850.0,40300.0,41300.0,40300.0,6950000.0,0.86
